2. DFT data set

ID IP/eV n/cP Tb/K Tf/K mu(Li)/(keal/mol) mu(PF6-)/(kcal/mol)
N3C09126 -8.15 15.52 713.93 475.60 17.40 0.26
N3C9127 -8.73 16.38 692.63 465.32 17.03 -0.35
N3C9128 -8.47 19.98 752.73 498.69 17.03 -0.30
N3C912 -8.67 20.16 728.96 491.18 17.25 0.11
N3C9131 -8.33 10.44 675.06 451.17 17.49 0.27
N3C9133 -7.61 10.15 743.29 487.48 17.26 0.27
N3C9134 -8.43 9.57 700.14 465.08 17.09 0.11
N3C9136 -8.48 11.92 676.13 452.37 17.54 0.414
N3C9137 -8.65 27.41 769.87 511.09 16.88 -0.41
N3C9138 -8.53 23.64 797.11 522.63 17.55 0.70
N3C9139 -8.26 21.60 683.06 462.08 17.08 0.01
N3C9140 -8.44 4.08 619.69 412.88 18.48 1.10
N3C9141 -8.39 9.14 657.79 441.80 17.55 0.20
N3C914 -8.57 24.48 699.49 478.69 16.70 -0.73
N3C915 -8.41 13.30 641.83 440.67 17.21 0.16
N3C916 -8.39 19.00 705.16 478.77 16.65 -0.61
N3C918 -7.63 9.75 608.82 419.71 18.25 1.29
N3C919 -8.16 13.90 674.58 459.04 17.47 0.93
N3C91 -8.17 9.82 692.09 465.16 17.03 0.90
N3C920 -8.01 6.17 659.38 443.69 17.93 1.09
N3C921 -8.22 12.16 693.06 466.70 17.92 1.26
N3C923 -8.33 12.11 696.25 469.52 17.08 0.65
N3C926 -8.21 13.79 712.39 479.19 17.10 0.57
N3C927 -6.37 15.78 630.59 435.28 17.90 0.92
N3C928 -8.50 17.45 637.21 440.86 17.14 0.23
N3C929 -8.53 17.15 690.72 470.97 16.57 -0.60
N3C92 -7.27 21.24 789.64 524.78 16.46 -0.52
N3C930 -6.70 18.79 702.44 476.40 17.18 0.22
N3C931 -6.83 17.99 770.06 512.07 16.82 -0.17
N3C932 -8.50 14.36 718.38 483.81 16.69 -0.44
N3C933 -8.31 26.52 799.12 530.31 17.02 0.22
N3C935 -8.38 23.71 738.83 498.20 16.68 -0.18
N3C936 -8.42 16.38 734.09 493.79 16.45 -0.91
N3C937 -8.27 22.65 811.90 537.66 16.31 -1.04
N3C938 -7.38 22.38 695.95 474.68 16.88 -0.114
N3C939 -6.71 17.36 759.80 507.31 16.43 -0.62
N3C940 -8.43 19.87 695.95 474.71 16.61 -0.55
N3C941 -8.37 1.61 501.80 344.40 20.91 2.90
N3C942 -8.28 1.86 507.65 349.57 21.02 3.06
N3C948 -7.83 2.07 509.92 351.42 21.05 2.75
N3C945 -6.61 4.13 591.88 403.17 18.83 1.44
N3C946 -6.60 4.72 592.34 404.71 18.84 1.43
N3C947 -8.38 3.98 562.86 386.78 19.15 1.70
N3C948 -8.70 5.05 571.02 393.60 17.83 0.89
N3C949 -8.34 6.24 682.08 456.24 17.55 0.65
N3C950 -6.95 5.48 692.94 461.12 17.23 0.34
N3C951 -8.25 5.39 669.18 446.76 19.00 1.44
N3C952 -8.10 7.51 706.92 470.94 17.46 0.57
N3C953 -7.63 6.75 696.07 464.30 17.52 0.68
N3C954 -7.84 7.08 689.90 461.38 17.71 0.60
N3C955 -7.76 6.80 632.31 430.50 17.31 0.32
N3C956 -8.13 7.09 665.70 447.09 19.12 1.56
N3C957 -8.39 4.82 605.38 412.54 17.34 0.51
N3C958 -8.42 5.35 568.27 391.68 19.05 1.86
N3C959 -6.59 6.01 566.30 391.60 19.03 1.79
N3C95 -8.43 33.83 748.99 508.74 16.32 -1.20
N3C960 -8.11 7.22 591.46 407.49 18.10 1.12
N3C961 -8.28 11.23 632.53 434.43 17.47 0.95
N3C962 -7.36 9.85 629.58 431.24 17.74 0.57
N3C963 -8.45 10.13 641.57 438.12 17.53 0.47
N3C964 -8.21 11.20 629.60 432.29 17.75 0.62
N3C965 -8.24 11.44 620.60 428.45 17.07 -0.24
N3C967 -8.54 15.42 661.39 452.55 17.15 0.17
N3C968 -8.41 15.85 695.99 471.35 17.12 0.09
N3C969 -8.61 16.01 796.73 524.04 17.57 0.34
N3C970 -8.54 14.39 636.20 438.83 17.05 -0.22
N3C971 -8.30 12.36 647.93 443.75 16.96 -0.20
N3C972 -8.48 8.34 682.97 457.95 17.86 1.01
N3C974 -8.26 12.34 651.16 444.15 17.75 1.09
N3C975 -8.47 17.00 728.85 489.98 16.70 -0.53
N3C976 -8.31 18.00 699.58 474.44 17.21 0.10
N3C977 -7.99 7.75 662.53 445.55 19.14 1.79
N3C978 -7.98 9.87 670.56 451.88 19.32 1.93
N3C979 -8.35 11.80 625.05 429.83 18.09 1.49
N3C980 -7.27 9.54 612.17 421.27 17.94 1.32
N3C981 -8.32 8.10 646.87 438.56 17.53 1.04
N3C982 -7.89 14.94 712.43 478.72 17.89 1.32
N3C983 -7.98 6.20 670.48 449.36 17.81 0.74
N3C984 -8.07 13.94 613.54 424.72 18.02 1.33
N3C985 -8.34 9.08 649.21 440.77 17.55 0.97
N3C986 -8.58 12.50 638.06 437.79 17.69 0.60
N3C987 -6.80 10.74 663.22 451.00 17.04 -0.05
N3C988 -8.28 17.85 732.80 490.74 17.88 1.03
N3C98 -8.55 8.70 619.95 425.65 17.93 0.83
N3C990 -8.30 21.15 701.40 477.00 17.18 0.07
N3C992 -8.08 1.58 499.40 342.57 20.92 2.82
N3C993 -7.54 3.90 587.64 400.12 18.79 1.39
N3C994 -7.93 3.97 584.72 398.54 19.02 1.53
N3C995 -8.51 5.86 608.88 416.13 17.82 0.62
N3C996 -7.98 4.84 641.10 430.47 19.13 1.76
N3C997 -8.16 6.85 592.59 407.81 17.95 1.12
N3C998 -8.43 7.71 618.06 423.23 17.64 0.25
N3C999 -8.70 9.36 708.27 473.04 17.68 0.36
N3C99 -8.61 8.25 659.22 447.54 17.19 0.27
N4C51 -10.74 1.24 445.72 308.56 22.01 2.92
N4C61 -9.97 10.82 611.13 420.73 19.55 2.54
N4C62 -9.50 5.32 597.07 407.84 19.97 2.00
N4C71 -9.28 38.19 739.48 501.97 18.18 2.44
N4C72 -9.04 31.98 696.04 476.85 18.11 2.36
N4C73 -8.21 3.87 575.26 392.94 20.30 1.60
N4C74 -9.95 7.01 577.58 399.10 19.96 1.68
N4C75 -9.08 10.38 674.49 456.86 18.55 1.13
N4C76 -9.43 15.92 625.60 432.79 18.84 1.67
N4C810 -9.24 18.55 624.45 433.44 18.92 0.90
N4C811 -8.99 18.63 714.80 482.26 18.62 1.16
N4C812 -9.09 23.01 682.01 466.30 18.66 1.11
N4C813 -9.01 20.96 672.23 459.90 18.57 1.20
N4C814 -7.39 10.97 645.39 441.10 18.15 0.65
N4C815 -9.25 38.15 690.29 475.37 18.05 1.06
N4C816 -9.29 40.91 706.61 484.40 17.97 1.28
N4C817 -8.80 20.13 695.49 471.92 18.81 1.40
N4C818 -9.11 26.63 651.48 449.79 18.64 1.56
N4C819 -7.89 2.62 558.52 380.09 20.40 1.60
N4C81 -6.85 23.64 690.09 471.23 18.47 1.11
N4C820 -9.94 3.98 547.39 377.75 20.18 1.15
N4C82 -7.31 41.27 744.69 504.64 17.90 1.28
N4C83 -8.94 53.00 714.42 491.41 17.78 1.14
N4C84 -8.95 54.74 756.49 513.71 17.58 1.44
N4C85 -8.88 93.69 761.15 521.60 17.35 1.72
N4C86 -6.67 3.82 573.29 391.12 20.47 1.66
N4C87 -8.99 8.37 582.26 403.76 18.92 0.99
N4C88 -7.70 7.48 659.37 444.90 18.85 0.99
N4C89 -6.78 6.87 569.48 393.85 20.10 1.60
N5C71 -10.26 4.70 586.93 399.10 21.12 2.05
N2C936 -8.28 3.25 584.90 398.26 16.08 1.73
N3C837 -8.74 12.04 638.73 438.80 17.65 0.03
N3C83 -8.73 29.19 715.24 489.97 16.71 -1.11
N3C9113 -8.47 30.04 787.28 520.26 16.83 -0.60
N3C934 -8.17 22.22 724.38 489.85 16.90 -0.15
N3C93 -8.45 22.87 729.77 495.50 16.25 -1.20
N3C94 -8.48 18.77 714.09 484.81 16.24 -1.03
N3C966 -8.63 8.85 628.87 430.60 17.06 0.08
